expected, output, measured
10,0.00985924,10.0103
10,0.0098526,10.0102
10,0.00984609,10.0101
10,0.0103156,10.0099
10,0.0096044,10.0098
10,0.00976987,10.0097
10,0.00982109,10.0096
10,0.00987243,10.0094
10,0.00986671,10.0093
10,0.00986112,10.0092
10,0.00991287,10.0091
10,0.00985034,10.0089
10,0.00990239,10.0088
10,0.00984011,10.0087
10,0.00989241,10.0085
10,0.00988762,10.0084
10,0.00988295,10.0083
10,0.00982119,10.0082
10,0.009874,10.008
10,0.00986975,10.0079
10,0.00986563,10.0078
10,0.00986164,10.0076
10,0.00991499,10.0075
10,0.00985404,10.0074
10,0.00985043,10.0073
10,0.0099042,10.0071
10,0.00984366,10.007
10,0.00989769,10.0069
10,0.00989463,10.0067
10,0.00983448,10.0066
10,0.0098889,10.0065
10,0.00988623,10.0063
10,0.00988369,10.0062
10,0.00988127,10.0061
10,0.0101813,10.006
10,0.00964786,10.0058
10,0.00981747,10.0057
10,0.00981557,10.0056
10,0.00987105,10.0054
10,0.00986944,10.0053
10,0.00986795,10.0052
10,0.00986663,10.0051
10,0.00986541,10.0049
10,0.00986434,10.0048
10,0.0099206,10.0047
10,0.00986258,10.0045
10,0.0098619,10.0044
10,0.00986136,10.0043
10,0.00986092,10.0041
10,0.00991785,10.004
10,0.00986048,10.0039
10,0.00986045,10.0038
10,0.00986056,10.0036
10,0.00991804,10.0035
10,0.00986119,10.0034
10,0.00986168,10.0032
10,0.00986234,10.0031
10,0.00986309,10.003
10,0.00992122,10.0028
10,0.00986505,10.0027
10,0.00986619,10.0026
10,0.00986749,10.0025
10,0.00986893,10.0023
10,0.00987049,10.0022
10,0.00987218,10.0021
10,0.0100567,10.0019
10,0.0097614,10.0018
10,0.00987789,10.0017
10,0.00988007,10.0016
10,0.00982518,10.0014
10,0.00988487,10.0013
10,0.00988747,10.0012
10,0.0098902,10.001
10,0.00983583,10.0009
10,0.00989604,10.0008
10,0.00989918,10.0006
10,0.0098452,10.0005
10,0.0099058,10.0004
10,0.00985208,10.0003
10,0.00985571,10.0001
10,0.00991672,10
10,0.00986339,9.99987
10,0.00986741,9.99975
10,0.00987155,9.99962
10,0.00987586,9.99949
10,0.00988026,9.99936
10,0.00988479,9.99923
10,0.00988946,9.9991
10,0.00989425,9.99897
10,0.00984197,9.99885
10,0.00990424,9.99872
10,0.00985219,9.99859
10,0.00991472,9.99846
10,0.00986293,9.99833
10,0.00986849,9.99821
10,0.00987417,9.99808
10,0.00994212,9.99795
10,0.00982865,9.99782
10,0.00989194,9.99769
10,0.00989814,9.99757
10,0.00984722,9.99744
10,0.00991089,9.99731
10,0.00986025,9.99719
10,0.00986695,9.99706
10,0.00987375,9.99693
10,0.00988071,9.99681
10,0.0098878,9.99668
10,0.00989498,9.99655
10,0.00990232,9.99643
10,0.00985254,9.9963
10,0.00991732,9.99617
10,0.00986782,9.99605
10,0.00987564,9.99592
10,0.00988358,9.9958
10,0.00989165,9.99567
10,0.00989984,9.99555
10,0.00985094,9.99542
10,0.0099166,9.99529
10,0.00986795,9.99517
10,0.00987664,9.99504
10,0.00988543,9.99492
10,0.00989438,9.99479
10,0.00990342,9.99467
10,0.00985539,9.99455
10,0.00986468,9.99442
10,0.00987409,9.9943
10,0.00988362,9.99417
10,0.00983559,9.99405
10,0.00996026,9.99393
10,0.00991295,9.9938
10,0.00986576,9.99368
10,0.00987589,9.99356
10,0.00988617,9.99343
10,0.00989654,9.99331
10,0.00990703,9.99319
10,0.00986043,9.99307
10,0.00987117,9.99294
10,0.00988203,9.99282
10,0.00989301,9.9927
10,0.00990412,9.99258
10,0.00991532,9.99246
10,0.00986945,9.99234
10,0.00988089,9.99222
10,0.00989245,9.99209
10,0.00990413,9.99197
10,0.00991594,9.99185
10,0.00987064,9.99173
10,0.00988266,9.99161
10,0.00989482,9.99149
10,0.00990708,9.99137
10,0.00986224,9.99125
10,0.00993195,9.99113
10,0.00988735,9.99101
10,0.00990008,9.9909
10,0.00985569,9.99078
10,0.00992585,9.99066
10,0.00988169,9.99054
10,0.00989487,9.99042
10,0.00973337,9.9903
10,0.00997884,9.99018
10,0.00993515,9.99007
10,0.00989155,9.98995
10,0.0099053,9.98983
10,0.00991916,9.98972
10,0.00987591,9.9896
10,0.00989,9.98948
10,0.00990418,9.98937
10,0.00991848,9.98925
10,0.00987567,9.98914
10,0.00989019,9.98902
10,0.00990484,9.98891
10,0.00991959,9.98879
10,0.00987722,9.98868
10,0.00989217,9.98856
10,0.00990724,9.98845
10,0.00992243,9.98833
10,0.00988051,9.98822
10,0.00989589,9.98811
10,0.00991139,9.98799
10,0.009927,9.98788
10,0.00988551,9.98777
10,0.00990132,9.98766
10,0.00991727,9.98755
10,0.00987608,9.98743
10,0.00989222,9.98732
10,0.00990845,9.98721
10,0.00992482,9.9871
10,0.00988404,9.98699
10,0.0099006,9.98688
10,0.00962986,9.98677
10,0.0100485,9.98665
10,0.0100082,9.98654
10,0.00991073,9.98643
10,0.00992782,9.98633
10,0.00988779,9.98622
10,0.00990507,9.98611
10,0.00992245,9.986
10,0.00988272,9.98589
10,0.00990032,9.98579
10,0.00991799,9.98568
10,0.00993578,9.98557
10,0.00989645,9.98546
10,0.00991445,9.98536
10,0.00993253,9.98525
10,0.00989349,9.98515
10,0.00991178,9.98504
10,0.00993017,9.98493
10,0.00989142,9.98483
10,0.00991,9.98472
10,0.00992868,9.98462
10,0.00989024,9.98452
10,0.0099091,9.98441
10,0.00992807,9.98431
10,0.00988991,9.98421
10,0.00990906,9.9841
10,0.0099283,9.984
10,0.00989043,9.9839
10,0.00990987,9.9838
10,0.0099294,9.9837
10,0.0098918,9.9836
10,0.00951777,9.98349
10,0.0101603,9.98339
10,0.0100086,9.98329
10,0.00997137,9.98319
10,0.00993425,9.98309
10,0.00989721,9.98299
10,0.00991748,9.98289
10,0.00993785,9.98279
10,0.00990107,9.98269
10,0.00992161,9.9826
10,0.00994225,9.9825
10,0.00990577,9.9824
10,0.00992657,9.9823
10,0.00989025,9.98221
10,0.00991125,9.98211
10,0.00993231,9.98202
10,0.00995347,9.98192
10,0.00991751,9.98182
10,0.00993883,9.98173
10,0.00990303,9.98164
10,0.00992454,9.98154
10,0.00994612,9.98145
10,0.00991057,9.98135
10,0.00993234,9.98126
10,0.00989694,9.98117
10,0.00991886,9.98108
10,0.00994088,9.98099
10,0.00990574,9.98089
10,0.0099279,9.9808
